model,language,category,difficulty,task_id,task_title,generation_time_s,execution_success,pass_at_1,peak_memory_mb,error
starcoder2:instruct,python,string_manipulation,easy,py_001,Reverse String,26.158,True,True,12.21,
starcoder2:instruct,python,string_manipulation,easy,py_002,Is Palindrome,18.537,True,True,11.73,
starcoder2:instruct,python,algorithms,easy,py_003,Factorial,10.378,True,True,12.12,
starcoder2:instruct,python,algorithms,easy,py_004,Fibonacci,43.041,True,True,11.75,
starcoder2:instruct,python,string_manipulation,easy,py_005,Count Vowels,33.71,True,True,11.75,
starcoder2:instruct,python,algorithms,easy,py_006,Find Maximum,15.706,True,True,11.53,
starcoder2:instruct,python,algorithms,easy,py_007,Is Prime,14.51,True,True,11.78,
starcoder2:instruct,python,algorithms,medium,py_008,Binary Search,109.576,True,True,11.87,
starcoder2:instruct,python,algorithms,medium,py_009,Bubble Sort,20.338,True,True,11.86,
starcoder2:instruct,python,algorithms,medium,py_010,Two Sum,46.943,True,False,11.69,
starcoder2:instruct,python,string_manipulation,medium,py_011,Is Anagram,51.649,True,True,11.65,
starcoder2:instruct,python,string_manipulation,medium,py_012,Word Frequency,59.821,True,True,11.54,
starcoder2:instruct,python,data_structures,medium,py_013,Balanced Parentheses,59.508,True,True,11.79,
starcoder2:instruct,python,string_manipulation,medium,py_014,Run-Length Encoding,40.978,True,True,12.2,
starcoder2:instruct,python,algorithms,medium,py_015,Missing Number,34.388,True,True,11.88,
starcoder2:instruct,python,data_structures,hard,py_016,Flatten List,46.887,True,True,11.89,
starcoder2:instruct,python,data_structures,hard,py_017,LRU Cache,53.325,True,True,11.95,
starcoder2:instruct,python,algorithms,hard,py_018,Longest Common Subsequence,59.157,True,True,11.86,
starcoder2:instruct,python,concurrency,hard,py_019,Thread-Safe Counter,52.702,True,True,11.96,
starcoder2:instruct,python,self_invoking,hard,py_020,GCD and LCM of List,74.791,True,True,11.86,
starcoder2:instruct,java,string_manipulation,easy,java_001,Reverse String,27.773,True,True,33.34,
starcoder2:instruct,java,string_manipulation,easy,java_002,Is Palindrome,37.555,True,True,33.4,
starcoder2:instruct,java,algorithms,easy,java_003,Factorial,19.464,True,True,33.39,
starcoder2:instruct,java,algorithms,easy,java_004,Fibonacci,25.635,True,True,35.11,
starcoder2:instruct,java,string_manipulation,easy,java_005,Count Vowels,22.779,True,True,33.48,
starcoder2:instruct,java,algorithms,easy,java_006,Find Maximum,34.483,True,True,33.23,
starcoder2:instruct,java,algorithms,easy,java_007,Is Prime,17.658,True,True,33.29,
starcoder2:instruct,java,algorithms,medium,java_008,Binary Search,79.053,True,True,33.22,
starcoder2:instruct,java,algorithms,medium,java_009,Bubble Sort,46.486,True,True,33.32,
starcoder2:instruct,java,algorithms,medium,java_010,Two Sum,40.566,True,False,35.27,
starcoder2:instruct,java,string_manipulation,medium,java_011,Is Anagram,31.52,True,True,33.3,
starcoder2:instruct,java,string_manipulation,medium,java_012,Word Frequency,52.558,True,True,33.41,
starcoder2:instruct,java,data_structures,medium,java_013,Balanced Parentheses,88.708,True,True,34.82,
starcoder2:instruct,java,string_manipulation,medium,java_014,Run-Length Encoding,54.541,True,True,33.34,
starcoder2:instruct,java,algorithms,medium,java_015,Missing Number,33.884,True,True,35.13,
starcoder2:instruct,java,data_structures,hard,java_016,Flatten List,105.555,False,False,0.0,
starcoder2:instruct,java,data_structures,hard,java_017,LRU Cache,122.109,False,False,0.0,
starcoder2:instruct,java,algorithms,hard,java_018,Longest Common Subsequence,95.254,True,True,33.52,
starcoder2:instruct,java,concurrency,hard,java_019,Thread-Safe Counter,119.205,False,False,0.0,
starcoder2:instruct,java,self_invoking,hard,java_020,GCD and LCM of List,34.316,False,False,0.0,
deepseek-coder:6.7b-instruct,python,string_manipulation,easy,py_001,Reverse String,12.078,True,True,11.73,
deepseek-coder:6.7b-instruct,python,string_manipulation,easy,py_002,Is Palindrome,4.695,True,True,12.05,
deepseek-coder:6.7b-instruct,python,algorithms,easy,py_003,Factorial,6.264,True,True,11.86,
deepseek-coder:6.7b-instruct,python,algorithms,easy,py_004,Fibonacci,9.361,True,True,11.69,
deepseek-coder:6.7b-instruct,python,string_manipulation,easy,py_005,Count Vowels,5.96,True,True,12.07,
deepseek-coder:6.7b-instruct,python,algorithms,easy,py_006,Find Maximum,8.359,True,True,11.77,
deepseek-coder:6.7b-instruct,python,algorithms,easy,py_007,Is Prime,9.993,True,True,12.06,
deepseek-coder:6.7b-instruct,python,algorithms,medium,py_008,Binary Search,12.743,True,True,11.75,
deepseek-coder:6.7b-instruct,python,algorithms,medium,py_009,Bubble Sort,10.666,True,True,11.68,
deepseek-coder:6.7b-instruct,python,algorithms,medium,py_010,Two Sum,9.926,True,False,11.81,
